Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
43,1,Sep 3 2011,Sat,(21) Missouri,17,,Miami (OH),6,
44,1,Sep 3 2011,Sat,Navy,40,,Delaware,17,
45,1,Sep 3 2011,Sat,(10) Nebraska,40,,Chattanooga,7,
46,1,Sep 3 2011,Sat,North Carolina,42,,James Madison,10,
47,1,Sep 3 2011,Sat,North Carolina State,43,,Liberty,21,
48,1,Sep 3 2011,Sat,Northern Illinois,49,,Army,26,
49,1,Sep 3 2011,Sat,Northwestern,24,@,Boston College,17,
50,1,Sep 3 2011,Sat,Ohio,44,@,New Mexico State,24,
51,1,Sep 3 2011,Sat,(18) Ohio State,42,,Akron,0,
52,1,Sep 3 2011,Sat,(1) Oklahoma,47,,Tulsa,14,
53,1,Sep 3 2011,Sat,(9) Oklahoma State,61,,Louisiana,34,
54,1,Sep 3 2011,Sat,Penn State,41,,Indiana State,7,
55,1,Sep 3 2011,Sat,Pittsburgh,35,,Buffalo,16,
56,1,Sep 3 2011,Sat,Purdue,27,,Middle Tennessee State,24,
57,1,Sep 3 2011,Sat,Richmond,23,@,Duke,21,
58,1,Sep 3 2011,Sat,Sacramento State,29,@,Oregon State,28,
59,1,Sep 3 2011,Sat,San Diego State,49,,Cal Poly,21,
60,1,Sep 3 2011,Sat,(12) South Carolina,56,,East Carolina,37,Bank of America Stadium - Charlotte North Carolina
61,1,Sep 3 2011,Sat,(12) South Carolina,56,,East Carolina,37,
62,1,Sep 3 2011,Sat,South Florida,23,@,(16) Notre Dame,20,
63,1,Sep 3 2011,Sat,(25) Southern California,19,,Minnesota,17,
64,1,Sep 3 2011,Sat,Southern Mississippi,19,,Louisiana Tech,17,
65,1,Sep 3 2011,Sat,(7) Stanford,57,,San Jose State,3,
66,1,Sep 3 2011,Sat,Tennessee,42,,Montana,16,
67,1,Sep 3 2011,Sat,Texas,34,,Rice,9,
68,1,Sep 3 2011,Sat,Texas Tech,50,,Texas State,10,
69,1,Sep 3 2011,Sat,Texas-El Paso,31,,Stony Brook,24,
70,1,Sep 3 2011,Sat,Tulane,47,,Southeastern Louisiana,33,
71,1,Sep 3 2011,Sat,Vanderbilt,45,,Elon,14,
72,1,Sep 3 2011,Sat,Virginia,40,,William & Mary,3,
73,1,Sep 3 2011,Sat,(13) Virginia Tech,66,,Appalachian State,13,
74,1,Sep 3 2011,Sat,Washington,30,,Eastern Washington,27,
75,1,Sep 3 2011,Sat,Washington State,64,,Idaho State,21,
76,1,Sep 3 2011,Sat,Wyoming,35,,Weber State,32,
77,1,Sep 4 2011,Sun,Eastern Michigan,41,,Howard,9,
78,1,Sep 4 2011,Sun,(8) Texas A&M,46,,Southern Methodist,14,
79,1,Sep 4 2011,Sun,(24) West Virginia,34,,Marshall,13,
80,1,Sep 5 2011,Mon,Maryland,32,,Miami (FL),24,
81,2,Sep 8 2011,Thu,(9) Oklahoma State,37,,Arizona,14,
82,2,Sep 9 2011,Fri,Arizona State,37,,(21) Missouri,30,
83,2,Sep 9 2011,Fri,Florida International,24,@,Louisville,17,
84,2,Sep 10 2011,Sat,(3) Alabama,27,@,(23) Penn State,11,
85,2,Sep 10 2011,Sat,(14) Arkansas,52,,New Mexico,3,
86,2,Sep 10 2011,Sat,Arkansas State,47,,Memphis,3,
87,2,Sep 10 2011,Sat,Auburn,41,,(16) Mississippi State,34,
88,2,Sep 10 2011,Sat,Bowling Green State,58,,Morgan State,13,
89,2,Sep 10 2011,Sat,Buffalo,35,,Stony Brook,7,
90,2,Sep 10 2011,Sat,California,36,@,Colorado,33,
91,2,Sep 10 2011,Sat,Central Florida,30,,Boston College,3,
92,2,Sep 10 2011,Sat,Clemson,35,,Wofford,27,
93,2,Sep 10 2011,Sat,Colorado State,33,,Northern Colorado,14,
94,2,Sep 10 2011,Sat,Eastern Michigan,14,,Alabama State,7,
95,2,Sep 10 2011,Sat,(18) Florida,39,,Alabama-Birmingham,0,
96,2,Sep 10 2011,Sat,(5) Florida State,62,,Charleston Southern,10,
97,2,Sep 10 2011,Sat,Georgia Tech,49,@,Middle Tennessee State,21,
98,2,Sep 10 2011,Sat,Houston,48,@,North Texas,23,
99,2,Sep 10 2011,Sat,Idaho,44,,North Dakota,14,
100,2,Sep 10 2011,Sat,Illinois,56,,South Dakota State,3,
101,2,Sep 10 2011,Sat,Iowa State,44,,Iowa,41,
102,2,Sep 10 2011,Sat,Kansas,45,,Northern Illinois,42,
103,2,Sep 10 2011,Sat,Kentucky,27,,Central Michigan,13,
104,2,Sep 10 2011,Sat,Louisiana,20,@,Kent State,12,
105,2,Sep 10 2011,Sat,(2) Louisiana State,49,,Northwestern State,3,
106,2,Sep 10 2011,Sat,Louisiana Tech,48,,Central Arkansas,42,
107,2,Sep 10 2011,Sat,Louisiana-Monroe,35,,Grambling State,7,
108,2,Sep 10 2011,Sat,Marshall,26,,Southern Mississippi,20,
109,2,Sep 10 2011,Sat,Michigan,35,,Notre Dame,31,
110,2,Sep 10 2011,Sat,(17) Michigan State,44,,Florida Atlantic,0,
111,2,Sep 10 2011,Sat,Mississippi,42,,Southern Illinois,24,
112,2,Sep 10 2011,Sat,Navy,40,@,Western Kentucky,14,
113,2,Sep 10 2011,Sat,(10) Nebraska,42,,Fresno State,29,
114,2,Sep 10 2011,Sat,New Mexico State,28,@,Minnesota,21,
115,2,Sep 10 2011,Sat,North Carolina,24,,Rutgers,22,
116,2,Sep 10 2011,Sat,Northwestern,42,,Eastern Illinois,21,
117,2,Sep 10 2011,Sat,Ohio,30,,Gardner-Webb,3,
118,2,Sep 10 2011,Sat,(15) Ohio State,27,,Toledo,22,
119,2,Sep 10 2011,Sat,(13) Oregon,69,,Nevada,20,
120,2,Sep 10 2011,Sat,Pittsburgh,35,,Maine,29,
121,2,Sep 10 2011,Sat,Rice,24,,Purdue,22,
122,2,Sep 10 2011,Sat,San Diego State,23,@,Army,20,
123,2,Sep 10 2011,Sat,(12) South Carolina,45,@,Georgia,42,
124,2,Sep 10 2011,Sat,(22) South Florida,37,,Ball State,7,
125,2,Sep 10 2011,Sat,Southern California,23,,Utah,14,
126,2,Sep 10 2011,Sat,Southern Methodist,28,,Texas-El Paso,17,
127,2,Sep 10 2011,Sat,(6) Stanford,44,@,Duke,14,
128,2,Sep 10 2011,Sat,Syracuse,21,,Rhode Island,14,
129,2,Sep 10 2011,Sat,Temple,41,@,Akron,3,
130,2,Sep 10 2011,Sat,Tennessee,45,,Cincinnati,23,
131,2,Sep 10 2011,Sat,(24) Texas,17,,Brigham Young,16,
132,2,Sep 10 2011,Sat,(25) Texas Christian,35,@,Air Force,19,
133,2,Sep 10 2011,Sat,Tulsa,31,@,Tulane,3,
134,2,Sep 10 2011,Sat,UCLA,27,,San Jose State,17,
135,2,Sep 10 2011,Sat,Utah State,54,,Weber State,17,
136,2,Sep 10 2011,Sat,Vanderbilt,24,,Connecticut,21,
137,2,Sep 10 2011,Sat,Virginia,34,@,Indiana,31,
138,2,Sep 10 2011,Sat,(11) Virginia Tech,17,@,East Carolina,10,
139,2,Sep 10 2011,Sat,Wake Forest,34,,North Carolina State,27,
140,2,Sep 10 2011,Sat,Washington,40,,Hawaii,32,
141,2,Sep 10 2011,Sat,Washington State,59,,Nevada-Las Vegas,7,
142,2,Sep 10 2011,Sat,(19) West Virginia,55,,Norfolk State,12,
143,2,Sep 10 2011,Sat,Western Michigan,38,,Nicholls State,7,
144,2,Sep 10 2011,Sat,(8) Wisconsin,35,,Oregon State,0,
145,2,Sep 10 2011,Sat,Wyoming,45,,Texas State,10,
146,3,Sep 15 2011,Thu,(3) Louisiana State,19,@,(25) Mississippi State,6,
147,3,Sep 16 2011,Fri,(4) Boise State,40,@,Toledo,15,
148,3,Sep 16 2011,Fri,Iowa State,24,@,Connecticut,20,
149,3,Sep 17 2011,Sat,(2) Alabama,41,,North Texas,0,
150,3,Sep 17 2011,Sat,(14) Arkansas,38,,Troy,28,
151,3,Sep 17 2011,Sat,Army,21,,Northwestern,14,
152,3,Sep 17 2011,Sat,Ball State,28,,Buffalo,25,
153,3,Sep 17 2011,Sat,(19) Baylor,48,,Stephen F. Austin,0,
154,3,Sep 17 2011,Sat,California,63,,Presbyterian,12,
155,3,Sep 17 2011,Sat,Cincinnati,59,,Akron,14,
156,3,Sep 17 2011,Sat,Clemson,38,,(21) Auburn,24,
157,3,Sep 17 2011,Sat,Colorado,28,,Colorado State,14,
158,3,Sep 17 2011,Sat,Duke,20,@,Boston College,19,
159,3,Sep 17 2011,Sat,(16) Florida,33,,Tennessee,23,
160,3,Sep 17 2011,Sat,Florida International,17,,Central Florida,10,
161,3,Sep 17 2011,Sat,Fresno State,27,,North Dakota,22,
162,3,Sep 17 2011,Sat,Georgia,59,,Coastal Carolina,0,
163,3,Sep 17 2011,Sat,Georgia Tech,66,,Kansas,24,
164,3,Sep 17 2011,Sat,Houston,35,@,Louisiana Tech,34,
165,3,Sep 17 2011,Sat,Illinois,17,,(22) Arizona State,14,
166,3,Sep 17 2011,Sat,Indiana,38,,South Carolina State,21,
167,3,Sep 17 2011,Sat,Indiana State,44,@,Western Kentucky,16,
168,3,Sep 17 2011,Sat,Iowa,31,,Pittsburgh,27,
169,3,Sep 17 2011,Sat,Kansas State,37,,Kent State,0,
170,3,Sep 17 2011,Sat,Louisiana,38,,Nicholls State,21,
171,3,Sep 17 2011,Sat,Louisville,24,@,Kentucky,17,
172,3,Sep 17 2011,Sat,Memphis,27,,Austin Peay,6,
173,3,Sep 17 2011,Sat,Miami (FL),24,,(17) Ohio State,6,
174,3,Sep 17 2011,Sat,Michigan,31,,Eastern Michigan,3,
175,3,Sep 17 2011,Sat,Minnesota,29,,Miami (OH),23,
176,3,Sep 17 2011,Sat,Missouri,69,,Western Illinois,0,
177,3,Sep 17 2011,Sat,(11) Nebraska,51,,Washington,38,
178,3,Sep 17 2011,Sat,Nevada,17,@,San Jose State,14,
179,3,Sep 17 2011,Sat,Nevada-Las Vegas,40,,Hawaii,20,
180,3,Sep 17 2011,Sat,North Carolina,28,,Virginia,17,
181,3,Sep 17 2011,Sat,North Carolina State,35,,South Alabama,13,
182,3,Sep 17 2011,Sat,Notre Dame,31,,(15) Michigan State,13,
183,3,Sep 17 2011,Sat,Ohio,44,,Marshall,7,
184,3,Sep 17 2011,Sat,(1) Oklahoma,23,@,(5) Florida State,13,
185,3,Sep 17 2011,Sat,(8) Oklahoma State,59,@,Tulsa,33,
186,3,Sep 17 2011,Sat,(12) Oregon,56,,Missouri State,7,
187,3,Sep 17 2011,Sat,Penn State,14,@,Temple,10,
188,3,Sep 17 2011,Sat,Purdue,59,,Southeast Missouri State,0,
189,3,Sep 17 2011,Sat,San Diego State,42,,Washington State,24,
190,3,Sep 17 2011,Sat,(10) South Carolina,24,,Navy,21,
191,3,Sep 17 2011,Sat,(20) South Florida,70,,Florida A&M,17,
192,3,Sep 17 2011,Sat,Southern California,38,,Syracuse,17,
193,3,Sep 17 2011,Sat,Southern Methodist,40,,Northwestern State,7,
194,3,Sep 17 2011,Sat,Southern Mississippi,52,,Southeastern Louisiana,6,
195,3,Sep 17 2011,Sat,(6) Stanford,37,@,Arizona,10,
196,3,Sep 17 2011,Sat,(23) Texas,49,@,UCLA,20,
197,3,Sep 17 2011,Sat,(9) Texas A&M,37,,Idaho,7,
198,3,Sep 17 2011,Sat,(23) Texas Christian,38,,Louisiana-Monroe,17,
199,3,Sep 17 2011,Sat,Texas Tech,59,@,New Mexico,13,
200,3,Sep 17 2011,Sat,Texas-El Paso,16,@,New Mexico State,10,
201,3,Sep 17 2011,Sat,Tulane,49,@,Alabama-Birmingham,10,
202,3,Sep 17 2011,Sat,Utah,54,@,Brigham Young,10,
203,3,Sep 17 2011,Sat,Vanderbilt,30,,Mississippi,7,
204,3,Sep 17 2011,Sat,(13) Virginia Tech,26,,Arkansas State,7,
205,3,Sep 17 2011,Sat,Wake Forest,48,,Gardner-Webb,5,
206,3,Sep 17 2011,Sat,(18) West Virginia,37,@,Maryland,31,
207,3,Sep 17 2011,Sat,Western Michigan,44,,Central Michigan,14,
208,3,Sep 17 2011,Sat,(7) Wisconsin,49,,Northern Illinois,7,
209,3,Sep 17 2011,Sat,(7) Wisconsin,49,,Northern Illinois,7,Soldier Field - Chicago Illinois
210,3,Sep 17 2011,Sat,Wyoming,28,@,Bowling Green State,27,
211,4,Sep 22 2011,Thu,Cincinnati,44,,North Carolina State,14,
212,4,Sep 23 2011,Fri,Brigham Young,24,,Central Florida,17,
213,4,Sep 24 2011,Sat,Air Force,63,,Tennessee State,24,
214,4,Sep 24 2011,Sat,Akron,36,,Virginia Military Institute,13,
215,4,Sep 24 2011,Sat,(3) Alabama,38,,(14) Arkansas,14,
216,4,Sep 24 2011,Sat,Arizona State,43,,(23) Southern California,22,
217,4,Sep 24 2011,Sat,Arkansas State,53,,Central Arkansas,24,
218,4,Sep 24 2011,Sat,Auburn,30,,Florida Atlantic,14,
219,4,Sep 24 2011,Sat,Ball State,48,,Army,21,
220,4,Sep 24 2011,Sat,(17) Baylor,56,,Rice,31,
221,4,Sep 24 2011,Sat,(4) Boise State,41,,Tulsa,21,
222,4,Sep 24 2011,Sat,Boston College,45,,Massachusetts,17,
223,4,Sep 24 2011,Sat,Bowling Green State,37,@,Miami (OH),23,
224,4,Sep 24 2011,Sat,(21) Clemson,35,,(11) Florida State,30,
225,4,Sep 24 2011,Sat,Colorado State,35,@,Utah State,34,
226,4,Sep 24 2011,Sat,Connecticut,17,@,Buffalo,3,
227,4,Sep 24 2011,Sat,Duke,48,,Tulane,27,
228,4,Sep 24 2011,Sat,East Carolina,28,,Alabama-Birmingham,23,
229,4,Sep 24 2011,Sat,(15) Florida,48,@,Kentucky,10,
230,4,Sep 24 2011,Sat,Fresno State,48,@,Idaho,24,
231,4,Sep 24 2011,Sat,Georgia,27,@,Mississippi,13,
232,4,Sep 24 2011,Sat,(25) Georgia Tech,35,,North Carolina,28,
233,4,Sep 24 2011,Sat,Hawaii,56,,California-Davis,14,
234,4,Sep 24 2011,Sat,Houston,56,,Georgia State,0,
235,4,Sep 24 2011,Sat,(24) Illinois,23,,Western Michigan,20,
236,4,Sep 24 2011,Sat,Iowa,45,,Louisiana-Monroe,17,
237,4,Sep 24 2011,Sat,Kansas State,28,@,Miami (FL),24,
238,4,Sep 24 2011,Sat,Kent State,33,,South Alabama,25,
239,4,Sep 24 2011,Sat,Louisiana,36,@,Florida International,31,
240,4,Sep 24 2011,Sat,(2) Louisiana State,47,@,(16) West Virginia,21,
241,4,Sep 24 2011,Sat,(22) Michigan,28,,San Diego State,7,
242,4,Sep 24 2011,Sat,Michigan State,45,,Central Michigan,7,
243,4,Sep 24 2011,Sat,Mississippi State,26,,Louisiana Tech,20,
244,4,Sep 24 2011,Sat,(9) Nebraska,38,@,Wyoming,14,
245,4,Sep 24 2011,Sat,North Dakota State,37,@,Minnesota,24,
246,4,Sep 24 2011,Sat,North Texas,24,,Indiana,21,
247,4,Sep 24 2011,Sat,Northern Illinois,47,,Cal Poly,30,
248,4,Sep 24 2011,Sat,Notre Dame,15,@,Pittsburgh,12,
249,4,Sep 24 2011,Sat,Ohio State,37,,Colorado,17,
250,4,Sep 24 2011,Sat,(1) Oklahoma,38,,Missouri,28,
251,4,Sep 24 2011,Sat,(7) Oklahoma State,30,@,(8) Texas A&M,29,
252,4,Sep 24 2011,Sat,(10) Oregon,56,@,Arizona,31,
253,4,Sep 24 2011,Sat,Penn State,34,,Eastern Michigan,6,
254,4,Sep 24 2011,Sat,Rutgers,38,,Ohio,26,
255,4,Sep 24 2011,Sat,Sam Houston State,48,@,New Mexico,45,
256,4,Sep 24 2011,Sat,San Jose State,34,,New Mexico State,24,
257,4,Sep 24 2011,Sat,(12) South Carolina,21,,Vanderbilt,3,
258,4,Sep 24 2011,Sat,(18) South Florida,52,,Texas-El Paso,24,
259,4,Sep 24 2011,Sat,Southern Methodist,42,@,Memphis,0,
260,4,Sep 24 2011,Sat,Southern Mississippi,30,@,Virginia,24,
261,4,Sep 24 2011,Sat,Southern Utah,41,@,Nevada-Las Vegas,16,
262,4,Sep 24 2011,Sat,Syracuse,33,,Toledo,30,
263,4,Sep 24 2011,Sat,Temple,38,@,Maryland,7,
264,4,Sep 24 2011,Sat,(20) Texas Christian,55,,Portland State,13,
265,4,Sep 24 2011,Sat,Texas Tech,35,,Nevada,34,
266,4,Sep 24 2011,Sat,Troy,38,,Middle Tennessee State,35,
267,4,Sep 24 2011,Sat,UCLA,27,@,Oregon State,19,
268,4,Sep 24 2011,Sat,(13) Virginia Tech,30,@,Marshall,10,
269,4,Sep 24 2011,Sat,Washington,31,,California,23,
270,4,Sep 24 2011,Sat,(6) Wisconsin,59,,South Dakota,10,
271,5,Sep 29 2011,Thu,Houston,49,@,Texas-El Paso,42,
272,5,Sep 29 2011,Thu,Pittsburgh,44,,(16) South Florida,17,
273,5,Sep 30 2011,Fri,Brigham Young,27,,Utah State,24,
274,5,Oct 1 2011,Sat,Air Force,35,@,Navy,34,
275,5,Oct 1 2011,Sat,(3) Alabama,38,@,(12) Florida,10,
276,5,Oct 1 2011,Sat,(25) Arizona State,35,,Oregon State,20,
277,5,Oct 1 2011,Sat,(18) Arkansas,42,,(14) Texas A&M,38,
278,5,Oct 1 2011,Sat,Arkansas State,26,@,Western Kentucky,22,
279,5,Oct 1 2011,Sat,Army,45,,Tulane,6,
280,5,Oct 1 2011,Sat,Auburn,16,@,(10) South Carolina,13,
281,5,Oct 1 2011,Sat,(4) Boise State,30,,Nevada,10,
282,5,Oct 1 2011,Sat,Central Michigan,48,,Northern Illinois,41,
283,5,Oct 1 2011,Sat,Cincinnati,27,@,Miami (OH),0,
284,5,Oct 1 2011,Sat,(13) Clemson,23,@,(11) Virginia Tech,3,
285,5,Oct 1 2011,Sat,Duke,31,@,Florida International,27,
286,5,Oct 1 2011,Sat,Eastern Michigan,31,,Akron,23,
287,5,Oct 1 2011,Sat,Georgia,24,,Mississippi State,10,
288,5,Oct 1 2011,Sat,(21) Georgia Tech,45,@,North Carolina State,35,
289,5,Oct 1 2011,Sat,Hawaii,44,@,Louisiana Tech,26,
290,5,Oct 1 2011,Sat,(24) Illinois,38,,Northwestern,35,
291,5,Oct 1 2011,Sat,Kansas State,36,,(15) Baylor,35,
292,5,Oct 1 2011,Sat,Louisiana,37,,Florida Atlantic,34,
293,5,Oct 1 2011,Sat,(1) Louisiana State,35,,Kentucky,7,
294,5,Oct 1 2011,Sat,Marshall,17,@,Louisville,13,
295,5,Oct 1 2011,Sat,Maryland,28,,Towson,3,
296,5,Oct 1 2011,Sat,Miami (FL),45,,Bethune-Cookman,14,
297,5,Oct 1 2011,Sat,(19) Michigan,58,,Minnesota,0,
298,5,Oct 1 2011,Sat,Michigan State,10,@,Ohio State,7,
299,5,Oct 1 2011,Sat,Middle Tennessee State,38,,Memphis,31,
300,5,Oct 1 2011,Sat,Mississippi,38,@,Fresno State,28,
301,5,Oct 1 2011,Sat,New Mexico State,42,@,New Mexico,28,
302,5,Oct 1 2011,Sat,North Carolina,35,@,East Carolina,20,
303,5,Oct 1 2011,Sat,Notre Dame,38,@,Purdue,10,
304,5,Oct 1 2011,Sat,Ohio,17,,Kent State,10,
305,5,Oct 1 2011,Sat,(2) Oklahoma,62,,Ball State,6,
306,5,Oct 1 2011,Sat,Penn State,16,@,Indiana,10,
307,5,Oct 1 2011,Sat,Rutgers,19,@,Syracuse,16,
308,5,Oct 1 2011,Sat,San Jose State,38,@,Colorado State,31,
309,5,Oct 1 2011,Sat,Southern California,48,,Arizona,41,
310,5,Oct 1 2011,Sat,Southern Methodist,40,@,(20) Texas Christian,33,
311,5,Oct 1 2011,Sat,Southern Mississippi,48,,Rice,24,
312,5,Oct 1 2011,Sat,(6) Stanford,45,,UCLA,19,
313,5,Oct 1 2011,Sat,Tennessee,41,,Buffalo,10,
314,5,Oct 1 2011,Sat,(17) Texas,37,@,Iowa State,14,
315,5,Oct 1 2011,Sat,Texas Tech,45,@,Kansas,34,
316,5,Oct 1 2011,Sat,Toledo,36,@,Temple,13,
317,5,Oct 1 2011,Sat,Troy,24,,Alabama-Birmingham,23,
318,5,Oct 1 2011,Sat,Tulsa,41,,North Texas,24,
319,5,Oct 1 2011,Sat,Virginia,21,,Idaho,20,
320,5,Oct 1 2011,Sat,Wake Forest,27,@,Boston College,19,
321,5,Oct 1 2011,Sat,Washington,31,@,Utah,14,
322,5,Oct 1 2011,Sat,Washington State,31,@,Colorado,27,
323,5,Oct 1 2011,Sat,(22) West Virginia,55,,Bowling Green State,10,
324,5,Oct 1 2011,Sat,Western Michigan,38,@,Connecticut,31,
325,5,Oct 1 2011,Sat,(7) Wisconsin,48,,(8) Nebraska,17,
326,6,Oct 6 2011,Thu,(9) Oregon,43,,California,15,
327,6,Oct 6 2011,Thu,Western Kentucky,36,@,Middle Tennessee State,33,
328,6,Oct 7 2011,Fri,(5) Boise State,57,@,Fresno State,7,
329,6,Oct 8 2011,Sat,(2) Alabama,34,,Vanderbilt,0,
330,6,Oct 8 2011,Sat,(22) Arizona State,35,@,Utah,14,
331,6,Oct 8 2011,Sat,(10) Arkansas,38,,(15) Auburn,14,
332,6,Oct 8 2011,Sat,Arkansas State,24,@,Louisiana-Monroe,19,
333,6,Oct 8 2011,Sat,(25) Baylor,49,,Iowa State,26,
334,6,Oct 8 2011,Sat,Brigham Young,29,,San Jose State,16,
335,6,Oct 8 2011,Sat,Buffalo,38,,Ohio,37,
336,6,Oct 8 2011,Sat,Central Florida,16,,Marshall,6,
337,6,Oct 8 2011,Sat,(8) Clemson,36,,Boston College,14,
338,6,Oct 8 2011,Sat,Florida International,27,@,Akron,17,
339,6,Oct 8 2011,Sat,Georgia,20,@,Tennessee,12,
340,6,Oct 8 2011,Sat,(13) Georgia Tech,21,,Maryland,16,
341,6,Oct 8 2011,Sat,Houston,56,,East Carolina,3,
342,6,Oct 8 2011,Sat,(19) Illinois,41,@,Indiana,20,
343,6,Oct 8 2011,Sat,(20) Kansas State,24,,Missouri,17,
344,6,Oct 8 2011,Sat,Louisiana,31,,Troy,17,
345,6,Oct 8 2011,Sat,(1) Louisiana State,41,,(17) Florida,11,
346,6,Oct 8 2011,Sat,Louisiana Tech,24,@,Idaho,11,
347,6,Oct 8 2011,Sat,Miami (OH),35,,Army,28,
348,6,Oct 8 2011,Sat,(12) Michigan,42,@,Northwestern,24,
349,6,Oct 8 2011,Sat,Mississippi State,21,@,Alabama-Birmingham,3,
350,6,Oct 8 2011,Sat,(14) Nebraska,34,,Ohio State,27,
351,6,Oct 8 2011,Sat,Nevada,37,,Nevada-Las Vegas,0,
352,6,Oct 8 2011,Sat,North Carolina,14,,Louisville,7,
353,6,Oct 8 2011,Sat,North Carolina State,38,,Central Michigan,24,
354,6,Oct 8 2011,Sat,North Texas,31,,Florida Atlantic,17,
355,6,Oct 8 2011,Sat,Northern Illinois,40,,Kent State,10,
356,6,Oct 8 2011,Sat,Notre Dame,59,,Air Force,33,
357,6,Oct 8 2011,Sat,(3) Oklahoma,55,,(11) Texas,17,Cotton Bowl - Dallas Texas
358,6,Oct 8 2011,Sat,(3) Oklahoma,55,,(11) Texas,17,
359,6,Oct 8 2011,Sat,(6) Oklahoma State,70,,Kansas,28,
360,6,Oct 8 2011,Sat,Oregon State,37,,Arizona,27,
361,6,Oct 8 2011,Sat,Penn State,13,,Iowa,3,
362,6,Oct 8 2011,Sat,Purdue,45,,Minnesota,17,
363,6,Oct 8 2011,Sat,Rice,28,,Memphis,6,
364,6,Oct 8 2011,Sat,Rutgers,34,,Pittsburgh,10,
365,6,Oct 8 2011,Sat,(18) South Carolina,54,,Kentucky,3,
366,6,Oct 8 2011,Sat,Southern Mississippi,63,@,Navy,35,
367,6,Oct 8 2011,Sat,(7) Stanford,48,,Colorado,7,
368,6,Oct 8 2011,Sat,Syracuse,37,@,Tulane,34,
369,6,Oct 8 2011,Sat,Temple,42,@,Ball State,0,
370,6,Oct 8 2011,Sat,(24) Texas A&M,45,@,Texas Tech,40,
371,6,Oct 8 2011,Sat,Texas Christian,27,@,San Diego State,14,
372,6,Oct 8 2011,Sat,Toledo,54,,Eastern Michigan,16,
373,6,Oct 8 2011,Sat,UCLA,28,,Washington State,25,
374,6,Oct 8 2011,Sat,Utah State,63,,Wyoming,19,
375,6,Oct 8 2011,Sat,(21) Virginia Tech,38,,Miami (FL),35,
376,6,Oct 8 2011,Sat,Wake Forest,35,,(23) Florida State,30,
377,6,Oct 8 2011,Sat,(16) West Virginia,43,,Connecticut,16,
378,6,Oct 8 2011,Sat,Western Michigan,45,,Bowling Green State,21,
