Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
216,4,Sep 16 2017,7:00 PM,Sat,Texas-San Antonio,51,,Southern,17,,Alamodome - San Antonio Texas
217,4,Sep 16 2017,7:00 PM,Sat,Toledo,54,,Tulsa,51,,Glass Bowl - Toledo Ohio
218,4,Sep 16 2017,8:00 PM,Sat,Troy,27,@,New Mexico State,24,,Aggie Memorial Stadium - Las Cruces New Mexico
219,4,Sep 16 2017,10:00 PM,Sat,Utah,54,,San Jose State,16,,Rice-Eccles Stadium - Salt Lake City Utah
220,4,Sep 16 2017,7:30 PM,Sat,Vanderbilt,14,,(18) Kansas State,7,,Vanderbilt Stadium - Nashville Tennessee
221,4,Sep 16 2017,12:00 PM,Sat,Virginia,38,,Connecticut,18,,Scott Stadium - Charlottesville Virginia
222,4,Sep 16 2017,3:30 PM,Sat,(16) Virginia Tech,64,@,East Carolina,17,,Dowdy-Ficklen Stadium - Greenville North Carolina
223,4,Sep 16 2017,3:00 PM,Sat,Wake Forest,46,,Utah State,10,,BB&T Field - Winston-Salem North Carolina
224,4,Sep 16 2017,9:30 PM,Sat,(6) Washington,48,,Fresno State,16,,Husky Stadium - Seattle Washington
225,4,Sep 16 2017,5:30 PM,Sat,(21) Washington State,52,,Oregon State,23,,Martin Stadium - Pullman Washington
226,4,Sep 16 2017,12:00 PM,Sat,West Virginia,59,,Delaware State,16,,Milan Puskar Stadium - Morgantown West Virginia
227,4,Sep 16 2017,7:00 PM,Sat,Western Michigan,37,,Idaho,28,,Waldo Stadium - Kalamazoo Michigan
228,4,Sep 16 2017,3:30 PM,Sat,(10) Wisconsin,40,@,Brigham Young,6,,LaVell Edwards Stadium - Provo Utah
229,5,Sep 21 2017,7:30 PM,Thu,(21) South Florida,43,,Temple,7,,Raymond James Stadium - Tampa Florida
230,5,Sep 22 2017,10:30 PM,Fri,(23) Utah,30,@,Arizona,24,,Arizona Stadium - Tucson Arizona
231,5,Sep 22 2017,8:00 PM,Fri,Virginia,42,@,Boise State,23,,Albertsons Stadium - Boise Idaho
232,5,Sep 23 2017,3:30 PM,Sat,(1) Alabama,59,@,Vanderbilt,0,,Vanderbilt Stadium - Nashville Tennessee
233,5,Sep 23 2017,10:00 PM,Sat,Arizona State,37,,(24) Oregon,35,,Sun Devil Stadium - Tempe Arizona
234,5,Sep 23 2017,7:30 PM,Sat,(15) Auburn,51,@,Missouri,14,,Memorial Stadium/Faurot Field - Columbia Missouri
235,5,Sep 23 2017,7:00 PM,Sat,Buffalo,34,,Florida Atlantic,31,,UB Stadium - Buffalo New York
236,5,Sep 23 2017,3:00 PM,Sat,Central Florida,38,@,Maryland,10,,Capital One Field at Maryland Stadium - College Park Maryland
237,5,Sep 23 2017,3:30 PM,Sat,(2) Clemson,34,,Boston College,7,,Clemson Memorial Stadium - Clemson South Carolina
238,5,Sep 23 2017,3:30 PM,Sat,Duke,27,@,North Carolina,17,,Kenan Memorial Stadium - Chapel Hill North Carolina
239,5,Sep 23 2017,7:30 PM,Sat,(20) Florida,28,@,Kentucky,27,,Kroger Field - Lexington Kentucky
240,5,Sep 23 2017,7:30 PM,Sat,Florida International,13,@,Rice,7,,Rice Stadium - Houston Texas
241,5,Sep 23 2017,7:00 PM,Sat,(11) Georgia,31,,(17) Mississippi State,3,,Sanford Stadium - Athens Georgia
242,5,Sep 23 2017,6:00 PM,Sat,Georgia State,28,@,Charlotte,0,,Jerry Richardson Stadium - Charlotte North Carolina
243,5,Sep 23 2017,12:20 PM,Sat,Georgia Tech,35,,Pittsburgh,17,,Bobby Dodd Stadium - Atlanta Georgia
244,5,Sep 23 2017,2:00 PM,Sat,Idaho,29,@,South Alabama,23,,Ladd-Peebles Stadium - Mobile Alabama
245,5,Sep 23 2017,3:30 PM,Sat,Indiana,52,,Georgia Southern,17,,Memorial Stadium "The Rock" - Bloomington Indiana
246,5,Sep 23 2017,7:00 PM,Sat,(25) Louisiana State,35,,Syracuse,26,,Tiger Stadium - Baton Rouge Louisiana
247,5,Sep 23 2017,5:00 PM,Sat,Louisiana-Monroe,56,@,Louisiana,50,,Cajun Field - Lafayette Louisiana
248,5,Sep 23 2017,12:00 PM,Sat,(19) Louisville,42,,Kent State,3,,Papa John's Cardinal Stadium - Louisville Kentucky
249,5,Sep 23 2017,8:00 PM,Sat,Memphis,44,,Southern Illinois,31,,Liberty Bowl Memorial Stadium - Memphis Tennessee
250,5,Sep 23 2017,3:30 PM,Sat,(14) Miami (FL),52,,Toledo,30,,Hard Rock Stadium - Miami Gardens Florida
251,5,Sep 23 2017,3:30 PM,Sat,Miami (OH),31,@,Central Michigan,14,,Kelly/Shorts Stadium - Mount Pleasant Michigan
252,5,Sep 23 2017,4:00 PM,Sat,(8) Michigan,28,@,Purdue,10,,Ross-Ade Stadium - West Lafayette Indiana
253,5,Sep 23 2017,7:00 PM,Sat,Middle Tennessee State,24,,Bowling Green State,13,,Floyd Stadium - Murfreesboro Tennessee
254,5,Sep 23 2017,3:30 PM,Sat,Navy,42,,Cincinnati,32,,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
255,5,Sep 23 2017,3:30 PM,Sat,Nebraska,27,,Rutgers,17,,Memorial Stadium - Lincoln Nebraska
256,5,Sep 23 2017,1:30 PM,Sat,New Mexico,16,@,Tulsa,13,,H.A. Chapman Stadium - Tulsa Oklahoma
257,5,Sep 23 2017,8:00 PM,Sat,New Mexico State,41,,Texas-El Paso,14,,Aggie Memorial Stadium - Las Cruces New Mexico
258,5,Sep 23 2017,12:00 PM,Sat,North Carolina State,27,@,(12) Florida State,21,,Doak Campbell Stadium - Tallahassee Florida
259,5,Sep 23 2017,6:30 PM,Sat,North Texas,46,,Alabama-Birmingham,43,,Apogee Stadium - Denton Texas
260,5,Sep 23 2017,8:00 PM,Sat,Notre Dame,38,@,Michigan State,18,,Spartan Stadium - East Lansing Michigan
261,5,Sep 23 2017,2:00 PM,Sat,Ohio,27,@,Eastern Michigan,20,,Rynearson Stadium - Ypsilanti Michigan
262,5,Sep 23 2017,12:00 PM,Sat,(10) Ohio State,54,,Nevada-Las Vegas,21,,Ohio Stadium - Columbus Ohio
263,5,Sep 23 2017,6:30 PM,Sat,(3) Oklahoma,49,@,Baylor,41,,McLane Stadium - Waco Texas
264,5,Sep 23 2017,7:30 PM,Sat,(4) Penn State,21,@,Iowa,19,,Kinnick Stadium - Iowa City Iowa
265,5,Sep 23 2017,7:00 PM,Sat,(22) San Diego State,28,@,Air Force,24,,Falcon Stadium - Colorado Springs Colorado
266,5,Sep 23 2017,3:30 PM,Sat,South Carolina,17,,Louisiana Tech,16,,Williams-Brice Stadium - Columbia South Carolina
267,5,Sep 23 2017,3:30 PM,Sat,(5) Southern California,30,@,California,20,,California Memorial Stadium - Berkeley California
268,5,Sep 23 2017,7:00 PM,Sat,Southern Methodist,44,,Arkansas State,21,,Gerald J. Ford Stadium - Dallas Texas
269,5,Sep 23 2017,10:30 PM,Sat,Stanford,58,,UCLA,34,,Stanford Stadium - Stanford California
270,5,Sep 23 2017,12:00 PM,Sat,Tennessee,17,,Massachusetts,13,,Neyland Stadium - Knoxville Tennessee
271,5,Sep 23 2017,12:00 PM,Sat,Texas A&M,50,,Arkansas,43,,AT&T Stadium - Arlington Texas
272,5,Sep 23 2017,3:30 PM,Sat,(16) Texas Christian,44,@,(6) Oklahoma State,31,,Boone Pickens Stadium - Stillwater Oklahoma
273,5,Sep 23 2017,12:00 PM,Sat,Texas Tech,27,@,Houston,24,,TDECU Stadium - Houston Texas
274,5,Sep 23 2017,7:30 PM,Sat,Texas-San Antonio,44,@,Texas State,14,,Bobcat Stadium - San Marcos Texas
275,5,Sep 23 2017,6:00 PM,Sat,Troy,22,,Akron,17,,Veterans Memorial Stadium - Troy Alabama
276,5,Sep 23 2017,12:00 PM,Sat,Tulane,21,,Army,17,,Yulman Stadium - New Orleans Louisiana
277,5,Sep 23 2017,7:30 PM,Sat,Utah State,61,@,San Jose State,10,,CEFCU Stadium - San Jose California
278,5,Sep 23 2017,2:00 PM,Sat,(13) Virginia Tech,38,,Old Dominion,0,,Lane Stadium - Blacksburg Virginia
279,5,Sep 23 2017,3:30 PM,Sat,Wake Forest,20,@,Appalachian State,19,,Kidd Brewer Stadium - Boone North Carolina
280,5,Sep 23 2017,10:00 PM,Sat,(7) Washington,37,@,Colorado,10,,Folsom Field - Boulder Colorado
281,5,Sep 23 2017,6:00 PM,Sat,(18) Washington State,45,,Nevada,7,,Martin Stadium - Pullman Washington
282,5,Sep 23 2017,12:00 PM,Sat,West Virginia,56,@,Kansas,34,,Memorial Stadium - Lawrence Kansas
283,5,Sep 23 2017,6:30 PM,Sat,Western Illinois,52,@,Coastal Carolina,10,,Brooks Stadium - Conway South Carolina
284,5,Sep 23 2017,7:00 PM,Sat,Western Kentucky,33,,Ball State,21,,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
285,5,Sep 23 2017,7:00 PM,Sat,Western Michigan,49,,Wagner,14,,Waldo Stadium - Kalamazoo Michigan
286,5,Sep 23 2017,10:15 PM,Sat,Wyoming,28,,Hawaii,21,,Jonah Field War Memorial Stadium - Laramie Wyoming
287,5,Sep 24 2017,12:02 PM,Sun,East Carolina,41,@,Connecticut,38,,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
288,6,Sep 28 2017,8:00 PM,Thu,Texas,17,@,Iowa State,7,,Jack Trice Stadium - Ames Iowa
289,6,Sep 29 2017,7:00 PM,Fri,(14) Miami (FL),31,@,Duke,6,,Wallace Wade Stadium - Durham North Carolina
290,6,Sep 29 2017,8:00 PM,Fri,Nebraska,28,@,Illinois,6,,Memorial Stadium - Champaign Illinois
291,6,Sep 29 2017,8:00 PM,Fri,Utah State,40,,Brigham Young,24,,Merlin Olsen Field at Maverik Stadium - Logan Utah
292,6,Sep 29 2017,10:30 PM,Fri,(16) Washington State,30,,(5) Southern California,27,,Martin Stadium - Pullman Washington
293,6,Sep 30 2017,6:00 PM,Sat,Akron,34,@,Bowling Green State,23,,Doyt Perry Stadium - Bowling Green Ohio
294,6,Sep 30 2017,9:00 PM,Sat,(1) Alabama,66,,Mississippi,3,,Bryant-Denny Stadium - Tuscaloosa Alabama
295,6,Sep 30 2017,12:00 PM,Sat,Arkansas,42,,New Mexico State,24,,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
296,6,Sep 30 2017,3:30 PM,Sat,Army,35,,Texas-El Paso,21,,Michie Stadium - West Point New York
297,6,Sep 30 2017,6:00 PM,Sat,(13) Auburn,49,,(24) Mississippi State,10,,Jordan-Hare Stadium - Auburn Alabama
298,6,Sep 30 2017,1:00 PM,Sat,Boston College,28,,Central Michigan,8,,Alumni Stadium - Chestnut Hill Massachusetts
299,6,Sep 30 2017,3:30 PM,Sat,Buffalo,27,@,Kent State,13,,Dix Stadium - Kent Ohio
300,6,Sep 30 2017,7:00 PM,Sat,Central Florida,40,,Memphis,13,,Spectrum Stadium - Orlando Florida
301,6,Sep 30 2017,8:00 PM,Sat,(2) Clemson,31,@,(12) Virginia Tech,17,,Lane Stadium - Blacksburg Virginia
302,6,Sep 30 2017,11:59 PM,Sat,Colorado State,51,@,Hawaii,21,,Aloha Stadium - Honolulu Hawaii
303,6,Sep 30 2017,12:00 PM,Sat,(21) Florida,38,,Vanderbilt,24,,Ben Hill Griffin Stadium - Gainesville Florida
304,6,Sep 30 2017,7:00 PM,Sat,Florida Atlantic,38,,Middle Tennessee State,20,,FAU Football Stadium - Boca Raton Florida
305,6,Sep 30 2017,7:00 PM,Sat,Florida International,30,,Charlotte,29,,Riccardo Silva Stadium - Miami Florida
306,6,Sep 30 2017,3:30 PM,Sat,Florida State,26,@,Wake Forest,19,,BB&T Field - Winston-Salem North Carolina
307,6,Sep 30 2017,10:00 PM,Sat,Fresno State,41,,Nevada,21,,Bulldog Stadium - Fresno California
308,6,Sep 30 2017,3:30 PM,Sat,(7) Georgia,41,@,Tennessee,0,,Neyland Stadium - Knoxville Tennessee
309,6,Sep 30 2017,12:00 PM,Sat,Georgia Tech,33,,North Carolina,7,,Bobby Dodd Stadium - Atlanta Georgia
310,6,Sep 30 2017,12:00 PM,Sat,Houston,20,@,Temple,13,,Lincoln Financial Field - Philadelphia Pennsylvania
311,6,Sep 30 2017,3:30 PM,Sat,Kansas State,33,,Baylor,20,,Bill Snyder Family Stadium - Manhattan Kansas
312,6,Sep 30 2017,4:00 PM,Sat,Kentucky,24,,Eastern Michigan,20,,Kroger Field - Lexington Kentucky
313,6,Sep 30 2017,7:00 PM,Sat,Louisiana Tech,34,,South Alabama,16,,Joe Aillet Stadium - Ruston Louisiana
314,6,Sep 30 2017,7:00 PM,Sat,Louisiana-Monroe,51,,Coastal Carolina,43,,Malone Stadium - Monroe Louisiana
315,6,Sep 30 2017,3:30 PM,Sat,(17) Louisville,55,,Murray State,10,,Papa John's Cardinal Stadium - Louisville Kentucky
316,6,Sep 30 2017,7:00 PM,Sat,Marshall,38,@,Cincinnati,21,,Nippert Stadium - Cincinnati Ohio
317,6,Sep 30 2017,12:00 PM,Sat,Maryland,31,@,Minnesota,24,,TCF Bank Stadium - Minneapolis Minnesota
318,6,Sep 30 2017,4:00 PM,Sat,Michigan State,17,,Iowa,10,,Spartan Stadium - East Lansing Michigan
319,6,Sep 30 2017,3:30 PM,Sat,Navy,31,@,Tulsa,21,,H.A. Chapman Stadium - Tulsa Oklahoma
320,6,Sep 30 2017,10:30 PM,Sat,Nevada-Las Vegas,41,,San Jose State,13,,Sam Boyd Stadium - Las Vegas Nevada
321,6,Sep 30 2017,7:00 PM,Sat,New Mexico,56,,Air Force,38,,Dreamstyle Stadium - Albuquerque New Mexico
322,6,Sep 30 2017,12:20 PM,Sat,North Carolina State,33,,Syracuse,25,,Carter-Finley Stadium - Raleigh North Carolina
323,6,Sep 30 2017,7:00 PM,Sat,North Texas,43,@,Southern Mississippi,28,,M. M. Roberts Stadium - Hattiesburg Mississippi
324,6,Sep 30 2017,5:00 PM,Sat,(22) Notre Dame,52,,Miami (OH),17,,Notre Dame Stadium - South Bend Indiana
325,6,Sep 30 2017,3:30 PM,Sat,Ohio,58,@,Massachusetts,50,,Warren McGuirk Alumni Stadium - Amherst Massachusetts
326,6,Sep 30 2017,7:30 PM,Sat,(11) Ohio State,56,@,Rutgers,0,,High Point Solutions Stadium - Piscataway New Jersey
327,6,Sep 30 2017,8:00 PM,Sat,(15) Oklahoma State,41,@,Texas Tech,34,,Jones AT&T Stadium - Lubbock Texas
328,6,Sep 30 2017,10:30 PM,Sat,Oregon,45,,California,24,,Autzen Stadium - Eugene Oregon
329,6,Sep 30 2017,3:30 PM,Sat,(4) Penn State,45,,Indiana,14,,Beaver Stadium - University Park Pennsylvania
330,6,Sep 30 2017,12:00 PM,Sat,Pittsburgh,42,,Rice,10,,Heinz Field - Pittsburgh Pennsylvania
331,6,Sep 30 2017,10:30 PM,Sat,(19) San Diego State,34,,Northern Illinois,28,,SDCCU Stadium - San Diego California
332,6,Sep 30 2017,12:00 PM,Sat,(18) South Florida,61,@,East Carolina,31,,Dowdy-Ficklen Stadium - Greenville North Carolina
333,6,Sep 30 2017,4:00 PM,Sat,Southern Methodist,49,,Connecticut,28,,Gerald J. Ford Stadium - Dallas Texas
334,6,Sep 30 2017,4:00 PM,Sat,Stanford,34,,Arizona State,24,,Stanford Stadium - Stanford California
335,6,Sep 30 2017,7:30 PM,Sat,Texas A&M,24,,South Carolina,17,,Kyle Field - College Station Texas
336,6,Sep 30 2017,7:00 PM,Sat,Troy,24,@,(25) Louisiana State,21,,Tiger Stadium - Baton Rouge Louisiana
337,6,Sep 30 2017,10:30 PM,Sat,UCLA,27,,Colorado,23,,Rose Bowl - Pasadena California
338,6,Sep 30 2017,8:00 PM,Sat,(6) Washington,42,@,Oregon State,7,,Reser Stadium - Corvallis Oregon
339,6,Sep 30 2017,7:00 PM,Sat,Western Michigan,55,,Ball State,3,,Waldo Stadium - Kalamazoo Michigan
340,6,Sep 30 2017,12:00 PM,Sat,(10) Wisconsin,33,,Northwestern,24,,Camp Randall Stadium - Madison Wisconsin
341,6,Sep 30 2017,4:00 PM,Sat,Wyoming,45,,Texas State,10,,Jonah Field War Memorial Stadium - Laramie Wyoming
342,7,Oct 4 2017,8:00 PM,Wed,Arkansas State,43,@,Georgia Southern,25,,Allen E. Paulson Stadium - Statesboro Georgia
343,7,Oct 5 2017,8:00 PM,Thu,(24) North Carolina State,39,,(17) Louisville,25,,Carter-Finley Stadium - Raleigh North Carolina
344,7,Oct 6 2017,10:15 PM,Fri,Boise State,24,@,Brigham Young,7,,LaVell Edwards Stadium - Provo Utah
345,7,Oct 6 2017,7:00 PM,Fri,Memphis,70,@,Connecticut,31,,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
346,7,Oct 7 2017,3:30 PM,Sat,Akron,31,,Ball State,3,,InfoCision Stadium - Akron Ohio
347,7,Oct 7 2017,7:15 PM,Sat,(1) Alabama,27,@,Texas A&M,19,,Kyle Field - College Station Texas
348,7,Oct 7 2017,4:00 PM,Sat,Alabama-Birmingham,23,,Louisiana Tech,22,,Legion Field - Birmingham Alabama
349,7,Oct 7 2017,3:30 PM,Sat,Appalachian State,45,,New Mexico State,31,,Kidd Brewer Stadium - Boone North Carolina
350,7,Oct 7 2017,8:00 PM,Sat,Arizona,45,@,Colorado,42,,Folsom Field - Boulder Colorado
351,7,Oct 7 2017,6:30 PM,Sat,Army,49,@,Rice,12,,Rice Stadium - Houston Texas
352,7,Oct 7 2017,12:00 PM,Sat,(12) Auburn,44,,Mississippi,23,,Jordan-Hare Stadium - Auburn Alabama
353,7,Oct 7 2017,2:30 PM,Sat,Bowling Green State,37,@,Miami (OH),29,,Fred Yager Stadium - Oxford Ohio
354,7,Oct 7 2017,8:00 PM,Sat,(25) Central Florida,51,@,Cincinnati,23,,Nippert Stadium - Cincinnati Ohio
355,7,Oct 7 2017,2:00 PM,Sat,Central Michigan,26,@,Ohio,23,,Peden Stadium - Athens Ohio
356,7,Oct 7 2017,12:00 PM,Sat,(2) Clemson,28,,Wake Forest,14,,Clemson Memorial Stadium - Clemson South Carolina
357,7,Oct 7 2017,4:30 PM,Sat,Colorado State,27,@,Utah State,14,,Merlin Olsen Field at Maverik Stadium - Logan Utah
358,7,Oct 7 2017,6:00 PM,Sat,Florida Atlantic,58,@,Old Dominion,28,,S.B. Ballard Stadium - Norfolk Virginia
359,7,Oct 7 2017,7:30 PM,Sat,Fresno State,27,@,San Jose State,10,,CEFCU Stadium - San Jose California
360,7,Oct 7 2017,12:00 PM,Sat,(5) Georgia,45,@,Vanderbilt,14,,Vanderbilt Stadium - Nashville Tennessee
361,7,Oct 7 2017,6:30 PM,Sat,Georgia State,27,@,Coastal Carolina,21,,Brooks Stadium - Conway South Carolina
362,7,Oct 7 2017,7:00 PM,Sat,Houston,35,,Southern Methodist,22,,TDECU Stadium - Houston Texas
363,7,Oct 7 2017,3:30 PM,Sat,Indiana,27,,Charleston Southern,0,,Memorial Stadium "The Rock" - Bloomington Indiana
364,7,Oct 7 2017,12:00 PM,Sat,Iowa,45,,Illinois,16,,Kinnick Stadium - Iowa City Iowa
365,7,Oct 7 2017,12:00 PM,Sat,Iowa State,38,@,(3) Oklahoma,31,,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
366,7,Oct 7 2017,7:30 PM,Sat,Kentucky,40,,Missouri,34,,Kroger Field - Lexington Kentucky
367,7,Oct 7 2017,5:00 PM,Sat,Louisiana,21,@,Idaho,16,,Kibbie-Asui Activity Center - Moscow Idaho
368,7,Oct 7 2017,3:30 PM,Sat,Louisiana State,17,@,(21) Florida,16,,Ben Hill Griffin Stadium - Gainesville Florida
369,7,Oct 7 2017,3:00 PM,Sat,Louisiana-Monroe,45,@,Texas State,27,,Bobcat Stadium - San Marcos Texas
370,7,Oct 7 2017,6:00 PM,Sat,Marshall,14,@,Charlotte,3,,Jerry Richardson Stadium - Charlotte North Carolina
371,7,Oct 7 2017,3:30 PM,Sat,(13) Miami (FL),24,@,Florida State,20,,Doak Campbell Stadium - Tallahassee Florida
372,7,Oct 7 2017,7:30 PM,Sat,Michigan State,14,@,(7) Michigan,10,,Michigan Stadium - Ann Arbor Michigan
373,7,Oct 7 2017,3:00 PM,Sat,Middle Tennessee State,37,,Florida International,17,,Floyd Stadium - Murfreesboro Tennessee
374,7,Oct 7 2017,3:30 PM,Sat,Navy,48,,Air Force,45,,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
375,7,Oct 7 2017,10:30 PM,Sat,Nevada,35,,Hawaii,21,,MacKay Stadium - Reno Nevada
376,7,Oct 7 2017,3:30 PM,Sat,Northern Illinois,24,,Kent State,3,,Huskie Stadium - DeKalb Illinois
377,7,Oct 7 2017,3:30 PM,Sat,(21) Notre Dame,33,@,North Carolina,10,,Kenan Memorial Stadium - Chapel Hill North Carolina
378,7,Oct 7 2017,4:00 PM,Sat,(10) Ohio State,62,,Maryland,14,,Ohio Stadium - Columbus Ohio
379,7,Oct 7 2017,12:00 PM,Sat,(4) Penn State,31,@,Northwestern,7,,Ryan Field - Evanston Illinois
380,7,Oct 7 2017,3:30 PM,Sat,Purdue,31,,Minnesota,17,,Ross-Ade Stadium - West Lafayette Indiana
381,7,Oct 7 2017,10:45 PM,Sat,(19) San Diego State,41,@,Nevada-Las Vegas,10,,Sam Boyd Stadium - Las Vegas Nevada
382,7,Oct 7 2017,4:00 PM,Sat,South Carolina,48,,Arkansas,22,,Williams-Brice Stadium - Columbia South Carolina
383,7,Oct 7 2017,4:00 PM,Sat,(14) Southern California,38,,Oregon State,10,,Los Angeles Memorial Coliseum - Los Angeles California
384,7,Oct 7 2017,7:00 PM,Sat,Southern Mississippi,31,@,Texas-San Antonio,29,,Alamodome - San Antonio Texas
385,7,Oct 7 2017,10:15 PM,Sat,Stanford,23,@,(20) Utah,20,,Rice-Eccles Stadium - Salt Lake City Utah
386,7,Oct 7 2017,12:30 PM,Sat,Syracuse,27,,Pittsburgh,24,,Carrier Dome - Syracuse New York
387,7,Oct 7 2017,12:00 PM,Sat,Temple,34,@,East Carolina,10,,Dowdy-Ficklen Stadium - Greenville North Carolina
388,7,Oct 7 2017,7:00 PM,Sat,Texas,40,,Kansas State,34,,Darrell K Royal-Texas Memorial Stadium - Austin Texas
389,7,Oct 7 2017,3:30 PM,Sat,(8) Texas Christian,31,,(23) West Virginia,24,,Amon G. Carter Stadium - Fort Worth Texas
390,7,Oct 7 2017,12:00 PM,Sat,Texas Tech,65,@,Kansas,19,,Memorial Stadium - Lawrence Kansas
391,7,Oct 7 2017,12:00 PM,Sat,Toledo,20,,Eastern Michigan,15,,Glass Bowl - Toledo Ohio
392,7,Oct 7 2017,11:00 AM,Sat,Tulane,62,,Tulsa,28,,Yulman Stadium - New Orleans Louisiana
393,7,Oct 7 2017,12:20 PM,Sat,Virginia,28,,Duke,21,,Scott Stadium - Charlottesville Virginia
394,7,Oct 7 2017,7:15 PM,Sat,(16) Virginia Tech,23,@,Boston College,10,,Alumni Stadium - Chestnut Hill Massachusetts
395,7,Oct 7 2017,10:45 PM,Sat,(6) Washington,38,,California,7,,Husky Stadium - Seattle Washington
396,7,Oct 7 2017,8:00 PM,Sat,(11) Washington State,33,@,Oregon,10,,Autzen Stadium - Eugene Oregon
397,7,Oct 7 2017,8:00 PM,Sat,Western Kentucky,15,@,Texas-El Paso,14,,Sun Bowl - El Paso Texas
398,7,Oct 7 2017,3:30 PM,Sat,Western Michigan,71,@,Buffalo,68,,UB Stadium - Buffalo New York
399,7,Oct 7 2017,8:00 PM,Sat,(9) Wisconsin,38,@,Nebraska,17,,Memorial Stadium - Lincoln Nebraska
400,8,Oct 11 2017,8:00 PM,Wed,South Alabama,19,@,Troy,8,,Veterans Memorial Stadium - Troy Alabama
401,8,Oct 12 2017,7:30 PM,Thu,Louisiana,24,,Texas State,7,,Cajun Field - Lafayette Louisiana
402,8,Oct 13 2017,10:30 PM,Fri,California,37,,(8) Washington State,3,,California Memorial Stadium - Berkeley California
403,8,Oct 13 2017,7:00 PM,Fri,Syracuse,27,,(2) Clemson,24,,Carrier Dome - Syracuse New York
404,8,Oct 14 2017,2:00 PM,Sat,Air Force,34,,Nevada-Las Vegas,30,,Falcon Stadium - Colorado Springs Colorado
405,8,Oct 14 2017,7:15 PM,Sat,(1) Alabama,41,,Arkansas,9,,Bryant-Denny Stadium - Tuscaloosa Alabama
406,8,Oct 14 2017,6:30 PM,Sat,Alabama-Birmingham,25,,Middle Tennessee State,23,,Legion Field - Birmingham Alabama
407,8,Oct 14 2017,5:00 PM,Sat,Appalachian State,23,@,Idaho,20,,Kibbie-Asui Activity Center - Moscow Idaho
408,8,Oct 14 2017,9:00 PM,Sat,Arizona,47,,UCLA,30,,Arizona Stadium - Tucson Arizona
409,8,Oct 14 2017,10:45 PM,Sat,Arizona State,13,,(5) Washington,7,,Sun Devil Stadium - Tempe Arizona
410,8,Oct 14 2017,7:00 PM,Sat,Arkansas State,51,,Coastal Carolina,17,,Centennial Bank Stadium - Jonesboro Arkansas
411,8,Oct 14 2017,12:00 PM,Sat,Army,28,,Eastern Michigan,27,,Michie Stadium - West Point New York
412,8,Oct 14 2017,10:30 PM,Sat,Boise State,31,@,(19) San Diego State,14,,SDCCU Stadium - San Diego California
413,8,Oct 14 2017,12:20 PM,Sat,Boston College,45,@,Louisville,42,,Papa John's Cardinal Stadium - Louisville Kentucky
414,8,Oct 14 2017,7:00 PM,Sat,(22) Central Florida,63,,East Carolina,21,,Spectrum Stadium - Orlando Florida
415,8,Oct 14 2017,4:00 PM,Sat,Colorado,36,@,Oregon State,33,,Reser Stadium - Corvallis Oregon
416,8,Oct 14 2017,10:15 PM,Sat,Colorado State,44,,Nevada,42,,Sonny Lubick Field at Colorado State Stadium - Fort Collins Colorado
417,8,Oct 14 2017,12:00 PM,Sat,Connecticut,28,@,Temple,24,,Lincoln Financial Field - Philadelphia Pennsylvania
418,8,Oct 14 2017,7:00 PM,Sat,Florida International,23,,Tulane,10,,Riccardo Silva Stadium - Miami Florida
419,8,Oct 14 2017,12:00 PM,Sat,Florida State,17,@,Duke,10,,Wallace Wade Stadium - Durham North Carolina
420,8,Oct 14 2017,10:00 PM,Sat,Fresno State,38,,New Mexico,0,,Bulldog Stadium - Fresno California
421,8,Oct 14 2017,7:30 PM,Sat,(4) Georgia,53,,Missouri,28,,Sanford Stadium - Athens Georgia
422,8,Oct 14 2017,5:00 PM,Sat,Georgia State,47,@,Louisiana-Monroe,37,,Malone Stadium - Monroe Louisiana
423,8,Oct 14 2017,11:59 PM,Sat,Hawaii,37,,San Jose State,26,,Aloha Stadium - Honolulu Hawaii
424,8,Oct 14 2017,12:00 PM,Sat,Iowa State,45,,Kansas,0,,Jack Trice Stadium - Ames Iowa
425,8,Oct 14 2017,3:30 PM,Sat,Kent State,17,,Miami (OH),14,,Dix Stadium - Kent Ohio
426,8,Oct 14 2017,3:30 PM,Sat,Louisiana State,27,,(10) Auburn,23,,Tiger Stadium - Baton Rouge Louisiana
427,8,Oct 14 2017,2:30 PM,Sat,Marshall,35,,Old Dominion,3,,Joan C. Edwards Stadium - Huntington West Virginia
428,8,Oct 14 2017,3:45 PM,Sat,Memphis,30,,(25) Navy,27,,Liberty Bowl Memorial Stadium - Memphis Tennessee
429,8,Oct 14 2017,3:30 PM,Sat,(11) Miami (FL),25,,Georgia Tech,24,,Hard Rock Stadium - Miami Gardens Florida
430,8,Oct 14 2017,12:00 PM,Sat,(17) Michigan,27,@,Indiana,20,,Memorial Stadium "The Rock" - Bloomington Indiana
431,8,Oct 14 2017,8:00 PM,Sat,(21) Michigan State,30,@,Minnesota,27,,TCF Bank Stadium - Minneapolis Minnesota
