Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
272,4,Sep 20 2014,12:00 PM,Sat,(19) Wisconsin,68,,Bowling Green State,17,ESPN 2,
273,4,Sep 20 2014,4:00 PM,Sat,Wyoming,20,,Florida Atlantic,19,Mountain West Network,
274,5,Sep 25 2014,7:30 PM,Thu,Georgia Southern,34,,Appalachian State,14,ESPN U,
275,5,Sep 25 2014,7:30 PM,Thu,(24) Oklahoma State,45,,Texas Tech,35,ESPN,
276,5,Sep 25 2014,10:00 PM,Thu,(11) UCLA,62,@,(15) Arizona State,27,FS1,
277,5,Sep 26 2014,8:00 PM,Fri,Fresno State,35,@,New Mexico,24,ESPN 2,
278,5,Sep 26 2014,8:00 PM,Fri,Middle Tennessee State,41,@,Old Dominion,28,FS1,
279,5,Sep 27 2014,7:00 PM,Sat,Air Force,28,,Boise State,14,CBSSN,
280,5,Sep 27 2014,1:30 PM,Sat,Akron,21,@,Pittsburgh,10,ESPN3.com,
281,5,Sep 27 2014,4:00 PM,Sat,(5) Auburn,45,,Louisiana Tech,17,SEC Network,
282,5,Sep 27 2014,8:00 PM,Sat,(7) Baylor,49,@,Iowa State,28,FOX,
283,5,Sep 27 2014,3:00 PM,Sat,Bowling Green State,47,@,Massachusetts,42,ESPN3.com,
284,5,Sep 27 2014,3:30 PM,Sat,Buffalo,35,,Miami (OH),27,ESPN3.com,
285,5,Sep 27 2014,4:00 PM,Sat,California,59,,Colorado,56,Pac-12 Network,
286,5,Sep 27 2014,7:00 PM,Sat,Clemson,50,,North Carolina,35,ESPN U,
287,5,Sep 27 2014,12:30 PM,Sat,Colorado State,24,@,Boston College,21,RSN MSG NESN ROOT-PIT,
288,5,Sep 27 2014,5:00 PM,Sat,Florida Atlantic,41,,Texas-San Antonio,37,Sinclair Network,
289,5,Sep 27 2014,3:30 PM,Sat,Florida International,34,@,Alabama-Birmingham,20,ASN CSN-BAY CAL,
290,5,Sep 27 2014,3:30 PM,Sat,(1) Florida State,56,@,North Carolina State,41,ABC (ESPN 2 mirror),
291,5,Sep 27 2014,12:00 PM,Sat,(12) Georgia,35,,Tennessee,32,ESPN,
292,5,Sep 27 2014,12:00 PM,Sat,Iowa,24,@,Purdue,10,Big Ten Network,
293,5,Sep 27 2014,12:00 PM,Sat,(25) Kansas State,58,,Texas-El Paso,28,FSN MSG+ MASN2 SSO,
294,5,Sep 27 2014,12:00 PM,Sat,Kentucky,17,,Vanderbilt,7,SEC Network,
295,5,Sep 27 2014,7:30 PM,Sat,(17) Louisiana State,63,,New Mexico State,7,SEC Network,
296,5,Sep 27 2014,7:00 PM,Sat,Louisiana-Monroe,22,,Troy,20,ESPN3.com,
297,5,Sep 27 2014,3:30 PM,Sat,Louisville,20,,Wake Forest,10,ESPN U,
298,5,Sep 27 2014,1:30 PM,Sat,Maryland,37,@,Indiana,15,Big Ten Network,
299,5,Sep 27 2014,7:30 PM,Sat,Miami (FL),22,,Duke,10,ESPN 2,
300,5,Sep 27 2014,12:00 PM,Sat,(9) Michigan State,56,,Wyoming,14,ESPN 2,
301,5,Sep 27 2014,3:30 PM,Sat,Minnesota,30,@,Michigan,14,ABC,
302,5,Sep 27 2014,7:30 PM,Sat,(10) Mississippi,24,,Memphis,3,FSN-FL OH DET MW SD,
303,5,Sep 27 2014,7:00 PM,Sat,Missouri,21,@,(13) South Carolina,20,ESPN,
304,5,Sep 27 2014,9:00 PM,Sat,(21) Nebraska,45,,Illinois,14,Big Ten Network,
305,5,Sep 27 2014,10:30 PM,Sat,Nevada,21,@,San Jose State,10,CBSSN,
306,5,Sep 27 2014,12:00 PM,Sat,Northwestern,29,@,Penn State,6,Big Ten Network,
307,5,Sep 27 2014,8:00 PM,Sat,(8) Notre Dame,31,,Syracuse,15,ABC,MetLife Stadium - East Rutherford NJ
308,5,Sep 27 2014,2:00 PM,Sat,Ohio,34,,Eastern Illinois,19,ESPN3.com,
309,5,Sep 27 2014,6:00 PM,Sat,(22) Ohio State,50,,Cincinnati,28,Big Ten Network,
310,5,Sep 27 2014,7:00 PM,Sat,Rice,41,@,Southern Mississippi,23,FCS,
311,5,Sep 27 2014,12:00 PM,Sat,Rutgers,31,,Tulane,6,ESPNews,
312,5,Sep 27 2014,8:00 PM,Sat,San Diego State,34,,Nevada-Las Vegas,17,ESPN3.com,
313,5,Sep 27 2014,5:00 PM,Sat,South Alabama,34,@,Idaho,10,ESPN3.com,
314,5,Sep 27 2014,10:30 PM,Sat,(18) Southern California,35,,Oregon State,10,ESPN,
315,5,Sep 27 2014,4:15 PM,Sat,(16) Stanford,20,@,Washington,13,FOX,
316,5,Sep 27 2014,4:00 PM,Sat,Temple,36,@,Connecticut,10,ESPNews,
317,5,Sep 27 2014,4:00 PM,Sat,Texas,23,@,Kansas,0,FS1,
318,5,Sep 27 2014,3:30 PM,Sat,(6) Texas A&M,35,,Arkansas,28,CBS,AT&T Stadium - Arlington TX
319,5,Sep 27 2014,12:00 PM,Sat,Texas Christian,56,@,Southern Methodist,0,CBSSN,
320,5,Sep 27 2014,8:00 PM,Sat,Texas State,37,@,Tulsa,34,ESPNews,
321,5,Sep 27 2014,7:00 PM,Sat,Toledo,42,,Central Michigan,28,ESPN3.com,
322,5,Sep 27 2014,3:30 PM,Sat,Virginia,45,,Kent State,13,ESPN3.com,
323,5,Sep 27 2014,12:30 PM,Sat,Virginia Tech,35,,Western Michigan,17,ACC Network,
324,5,Sep 27 2014,8:00 PM,Sat,Washington State,28,@,Utah,27,Pac-12 Network,
325,5,Sep 27 2014,3:30 PM,Sat,Western Kentucky,36,@,Navy,27,CBSSN,
326,5,Sep 27 2014,12:00 PM,Sat,(19) Wisconsin,27,,South Florida,10,ESPN U,
327,5,Sep 27 2014,1:00 PM,Sat,Yale,49,,Army,43,FCS-Atlantic,
328,6,Oct 2 2014,10:30 PM,Thu,Arizona,31,@,(2) Oregon,24,ESPN,
329,6,Oct 2 2014,7:00 PM,Thu,Central Florida,17,@,Houston,12,ESPN,
330,6,Oct 2 2014,7:00 PM,Thu,Florida International,38,,Florida Atlantic,10,FSN,
331,6,Oct 3 2014,10:00 PM,Fri,Fresno State,24,,San Diego State,13,CBSSN,
332,6,Oct 3 2014,7:00 PM,Fri,Louisville,28,@,Syracuse,6,ESPN,
333,6,Oct 3 2014,10:26 PM,Fri,Utah State,35,@,(18) Brigham Young,20,ESPN,
334,6,Oct 4 2014,3:30 PM,Sat,Air Force,30,,Navy,21,CBSSN,
335,6,Oct 4 2014,2:00 PM,Sat,Akron,31,,Eastern Michigan,6,ESPN3.com,
336,6,Oct 4 2014,7:00 PM,Sat,Alabama-Birmingham,42,@,Western Kentucky,39,C-USA Digital Network,
337,6,Oct 4 2014,7:30 PM,Sat,Arizona State,38,@,(16) Southern California,34,FOX,
338,6,Oct 4 2014,7:00 PM,Sat,Arkansas State,28,,Louisiana-Monroe,14,ESPN3.com,
339,6,Oct 4 2014,12:00 PM,Sat,Army,33,,Ball State,24,CBSSN,
340,6,Oct 4 2014,7:00 PM,Sat,(5) Auburn,41,,(15) Louisiana State,7,ESPN,
341,6,Oct 4 2014,3:30 PM,Sat,(7) Baylor,28,@,Texas,7,ABC,
342,6,Oct 4 2014,10:30 PM,Sat,Boise State,51,@,Nevada,46,CBSSN,
343,6,Oct 4 2014,3:30 PM,Sat,Bowling Green State,36,,Buffalo,35,ESPN Game Plan ESPN3.com,
344,6,Oct 4 2014,10:30 PM,Sat,California,60,@,Washington State,59,Pac-12 Network,
345,6,Oct 4 2014,3:30 PM,Sat,Central Michigan,28,,Ohio,10,ESPN3.com,
346,6,Oct 4 2014,3:30 PM,Sat,Clemson,41,,North Carolina State,0,ESPN U,
347,6,Oct 4 2014,3:00 PM,Sat,Colorado State,42,,Tulsa,17,Mountain West Network,
348,6,Oct 4 2014,12:00 PM,Sat,(22) East Carolina,45,,Southern Methodist,24,ESPN U,
349,6,Oct 4 2014,12:00 PM,Sat,Florida,10,@,Tennessee,9,SEC Network,
350,6,Oct 4 2014,3:30 PM,Sat,(1) Florida State,43,,Wake Forest,3,ABC Regional,
351,6,Oct 4 2014,4:00 PM,Sat,(13) Georgia,44,,Vanderbilt,17,SEC Network,
352,6,Oct 4 2014,8:00 PM,Sat,Georgia Southern,36,@,New Mexico State,28,FSN-SW AZ+ ESPN3.com,
353,6,Oct 4 2014,7:30 PM,Sat,Georgia Tech,28,,Miami (FL),17,ESPN 2,
354,6,Oct 4 2014,2:30 PM,Sat,Indiana,49,,North Texas,24,Big Ten Network,
355,6,Oct 4 2014,7:00 PM,Sat,(23) Kansas State,45,,Texas Tech,13,ESPN U,
356,6,Oct 4 2014,7:30 PM,Sat,Kentucky,45,,South Carolina,38,SEC Network,
357,6,Oct 4 2014,7:00 PM,Sat,Louisiana,34,,Georgia State,31,ESPN3.com,
358,6,Oct 4 2014,7:00 PM,Sat,Louisiana Tech,55,,Texas-El Paso,3,FCS,
359,6,Oct 4 2014,12:00 PM,Sat,Marshall,56,@,Old Dominion,14,FSN ROOT-NW PIT MSG+,
360,6,Oct 4 2014,7:00 PM,Sat,Memphis,41,@,Cincinnati,14,CBSSN,Paul Brown Stadium - Cincinnati OH
361,6,Oct 4 2014,2:30 PM,Sat,Miami (OH),42,,Massachusetts,41,ESPN3.com,
362,6,Oct 4 2014,8:00 PM,Sat,(10) Michigan State,27,,(19) Nebraska,22,ABC,
363,6,Oct 4 2014,12:00 PM,Sat,Middle Tennessee State,37,,Southern Mississippi,31,ASN CSN-CHI,
364,6,Oct 4 2014,3:30 PM,Sat,(11) Mississippi,23,,(3) Alabama,17,CBS,
365,6,Oct 4 2014,12:00 PM,Sat,(12) Mississippi State,48,,(6) Texas A&M,31,ESPN,
366,6,Oct 4 2014,3:30 PM,Sat,New Mexico,21,@,Texas-San Antonio,9,ASN CSN-CHI,
367,6,Oct 4 2014,5:00 PM,Sat,Northern Illinois,17,,Kent State,14,ESPN3.com,
368,6,Oct 4 2014,3:30 PM,Sat,Northwestern,20,,(17) Wisconsin,14,ESPN 2,
369,6,Oct 4 2014,3:30 PM,Sat,(9) Notre Dame,17,,(14) Stanford,14,NBC,
370,6,Oct 4 2014,12:00 PM,Sat,(20) Ohio State,52,@,Maryland,24,ABC,
371,6,Oct 4 2014,12:00 PM,Sat,(21) Oklahoma State,37,,Iowa State,20,FS1,
372,6,Oct 4 2014,4:00 PM,Sat,Oregon State,36,@,Colorado,31,Pac-12 Network,
373,6,Oct 4 2014,12:00 PM,Sat,Purdue,38,@,Illinois,27,ESPN 2,
374,6,Oct 4 2014,7:00 PM,Sat,Rice,28,,Hawaii,14,ASN CSN-BAY TCN-PHI,
375,6,Oct 4 2014,7:00 PM,Sat,Rutgers,26,,Michigan,24,Big Ten Network,
376,6,Oct 4 2014,8:00 PM,Sat,San Jose State,33,,Nevada-Las Vegas,10,ESPNews,
377,6,Oct 4 2014,6:00 PM,Sat,South Alabama,47,@,Appalachian State,21,ESPN3.com,
378,6,Oct 4 2014,3:30 PM,Sat,(25) Texas Christian,37,,(4) Oklahoma,33,FOX,
379,6,Oct 4 2014,7:00 PM,Sat,Texas State,35,,Idaho,30,ESPN3.com,
380,6,Oct 4 2014,7:00 PM,Sat,Toledo,20,@,Western Michigan,19,ESPN3.com,
381,6,Oct 4 2014,10:30 PM,Sat,Utah,30,@,(8) UCLA,28,ESPN,
382,6,Oct 4 2014,7:30 PM,Sat,Virginia,24,,Pittsburgh,19,RSN YES ROOT-PIT STO,
383,6,Oct 4 2014,12:30 PM,Sat,Virginia Tech,34,@,North Carolina,17,ACC Network,
384,6,Oct 4 2014,4:00 PM,Sat,West Virginia,33,,Kansas,14,FSN ROOT-PIT,
385,7,Oct 9 2014,7:30 PM,Thu,Central Florida,31,,Brigham Young,24,ESPN,
386,7,Oct 10 2014,10:00 PM,Fri,Nevada-Las Vegas,30,,Fresno State,27,CBSSN,
387,7,Oct 10 2014,9:30 PM,Fri,San Diego State,24,@,New Mexico,14,ESPN U,
388,7,Oct 10 2014,9:00 PM,Fri,(25) Stanford,34,,Washington State,17,ESPN,
389,7,Oct 11 2014,2:00 PM,Sat,Akron,29,,Miami (OH),19,ESPN3.com,
390,7,Oct 11 2014,6:00 PM,Sat,(7) Alabama,14,@,Arkansas,13,ESPN,
391,7,Oct 11 2014,3:30 PM,Sat,Alabama-Birmingham,56,,North Texas,21,Sinclair ASN,
392,7,Oct 11 2014,2:00 PM,Sat,Arkansas State,52,@,Georgia State,10,ESPN3.com,
393,7,Oct 11 2014,3:30 PM,Sat,(5) Baylor,61,,(9) Texas Christian,58,ESPN 2,
394,7,Oct 11 2014,3:30 PM,Sat,Boston College,30,@,North Carolina State,14,CSN NESN ROOT-NW PIT,
395,7,Oct 11 2014,2:00 PM,Sat,Bowling Green State,31,@,Ohio,13,ESPN3.com,
396,7,Oct 11 2014,5:00 PM,Sat,Central Michigan,34,@,Northern Illinois,17,ESPN3.com,
397,7,Oct 11 2014,3:30 PM,Sat,Clemson,23,,Louisville,17,ESPN U,
398,7,Oct 11 2014,10:30 PM,Sat,Colorado State,31,@,Nevada,24,CBSSN,
399,7,Oct 11 2014,12:30 PM,Sat,Duke,31,@,(22) Georgia Tech,25,ACC Network,
400,7,Oct 11 2014,7:00 PM,Sat,(19) East Carolina,28,@,South Florida,17,ESPN U,
401,7,Oct 11 2014,1:00 PM,Sat,Eastern Michigan,37,,Buffalo,27,ESPN3.com,
402,7,Oct 11 2014,12:00 PM,Sat,(1) Florida State,38,@,Syracuse,20,ESPN,
403,7,Oct 11 2014,12:00 PM,Sat,(13) Georgia,34,@,(23) Missouri,0,CBS,
404,7,Oct 11 2014,6:00 PM,Sat,Georgia Southern,47,,Idaho,24,ESPN3.com,
405,7,Oct 11 2014,11:59 PM,Sat,Hawaii,38,,Wyoming,28,Oceanic PPV ROOT-RM,
406,7,Oct 11 2014,7:00 PM,Sat,Houston,28,@,Memphis,24,CBSSN,
407,7,Oct 11 2014,12:00 PM,Sat,Iowa,45,,Indiana,29,Big Ten Network,
408,7,Oct 11 2014,3:30 PM,Sat,Iowa State,37,,Toledo,30,Mediacom Cable,
409,7,Oct 11 2014,12:00 PM,Sat,Kentucky,48,,Louisiana-Monroe,14,SEC Network,
410,7,Oct 11 2014,3:30 PM,Sat,Liberty,55,@,Appalachian State,48,ESPN3.com,
411,7,Oct 11 2014,7:30 PM,Sat,Louisiana State,30,@,Florida,27,SEC Network,
412,7,Oct 11 2014,12:00 PM,Sat,Marshall,49,,Middle Tennessee State,24,FSN MSG+ ROOT-RM SPO,
413,7,Oct 11 2014,2:00 PM,Sat,Massachusetts,40,@,Kent State,17,ESPN3.com,
414,7,Oct 11 2014,12:00 PM,Sat,Miami (FL),55,,Cincinnati,34,MSG NESN ROOT-NW PIT,
415,7,Oct 11 2014,7:00 PM,Sat,Michigan,18,,Penn State,13,ESPN,
416,7,Oct 11 2014,3:30 PM,Sat,(8) Michigan State,45,@,Purdue,31,ABC,
417,7,Oct 11 2014,12:00 PM,Sat,Minnesota,24,,Northwestern,17,Big Ten Network,
418,7,Oct 11 2014,9:15 PM,Sat,(3) Mississippi,35,@,(14) Texas A&M,20,ESPN,
419,7,Oct 11 2014,3:39 PM,Sat,(3) Mississippi State,38,,(2) Auburn,23,CBS,
420,7,Oct 11 2014,3:30 PM,Sat,Navy,51,,Virginia Military Institute,14,CBSSN,
421,7,Oct 11 2014,3:30 PM,Sat,(6) Notre Dame,50,,North Carolina,43,NBC,
422,7,Oct 11 2014,12:00 PM,Sat,(11) Oklahoma,31,,Texas,26,ABC,Cotton Bowl - Dallas TX
423,7,Oct 11 2014,4:00 PM,Sat,(16) Oklahoma State,27,@,Kansas,20,FS1,
424,7,Oct 11 2014,3:30 PM,Sat,(12) Oregon,42,@,(18) UCLA,30,FOX,
425,7,Oct 11 2014,12:00 PM,Sat,Rice,41,@,Army,21,CBSSN,
426,7,Oct 11 2014,10:30 PM,Sat,Southern California,28,@,(10) Arizona,26,ESPN 2,
427,7,Oct 11 2014,12:00 PM,Sat,Temple,35,,Tulsa,24,ESPNews,
428,7,Oct 11 2014,4:00 PM,Sat,Tennessee,45,,Chattanooga,10,SEC Network,
429,7,Oct 11 2014,8:00 PM,Sat,Texas-El Paso,42,,Old Dominion,35,MyTVZ33 Sinclair,
430,7,Oct 11 2014,7:00 PM,Sat,Texas-San Antonio,16,,Florida International,13,FCS,
431,7,Oct 11 2014,3:00 PM,Sat,Troy,41,,New Mexico State,24,ESPN3.com,
432,7,Oct 11 2014,8:00 PM,Sat,Tulane,12,,Connecticut,3,ESPNews,
433,7,Oct 11 2014,10:15 PM,Sat,Utah State,34,,Air Force,16,ESPN U,
434,7,Oct 11 2014,7:30 PM,Sat,Vanderbilt,21,,Charleston Southern,20,FSN-DET SW SportSouth,
435,7,Oct 11 2014,6:00 PM,Sat,Washington,31,@,California,7,Pac-12 Network,
436,7,Oct 11 2014,12:00 PM,Sat,West Virginia,37,@,Texas Tech,34,FS1,
437,7,Oct 11 2014,3:00 PM,Sat,Western Michigan,42,@,Ball State,38,ESPN3.com,
438,7,Oct 11 2014,12:00 PM,Sat,Wisconsin,38,,Illinois,28,ESPN 2,
439,8,Oct 14 2014,8:00 PM,Tue,Louisiana,34,@,Texas State,10,ESPN 2,
440,8,Oct 16 2014,7:30 PM,Thu,Pittsburgh,21,,Virginia Tech,16,ESPN,
441,8,Oct 16 2014,10:00 PM,Thu,(20) Utah,29,@,Oregon State,23,FS2,
442,8,Oct 17 2014,8:00 PM,Fri,Boise State,37,,Fresno State,27,ESPN,
443,8,Oct 17 2014,9:00 PM,Fri,Houston,31,,Temple,10,ESPN U,
444,8,Oct 18 2014,3:30 PM,Sat,Air Force,35,,New Mexico,31,ROOT-NW,
445,8,Oct 18 2014,3:30 PM,Sat,(7) Alabama,59,,(21) Texas A&M,0,CBS,
446,8,Oct 18 2014,3:00 PM,Sat,Appalachian State,53,@,Troy,14,ESPN3.com,
447,8,Oct 18 2014,10:30 PM,Sat,(17) Arizona State,26,,(23) Stanford,10,ESPN,
448,8,Oct 18 2014,3:30 PM,Sat,Ball State,32,@,Central Michigan,29,ESPN3.com,
449,8,Oct 18 2014,12:00 PM,Sat,Central Florida,20,,Tulane,13,ESPN U,
450,8,Oct 18 2014,3:30 PM,Sat,Cincinnati,41,@,Southern Methodist,3,CBSSN,
451,8,Oct 18 2014,3:30 PM,Sat,(24) Clemson,17,@,Boston College,13,ESPN U,
452,8,Oct 18 2014,7:00 PM,Sat,Colorado State,16,,Utah State,13,CBSSN,
453,8,Oct 18 2014,12:30 PM,Sat,Duke,20,,Virginia,13,ACC Network,
454,8,Oct 18 2014,12:00 PM,Sat,Florida Atlantic,45,,Western Kentucky,38,Sinclair,
455,8,Oct 18 2014,8:00 PM,Sat,(2) Florida State,31,,(5) Notre Dame,27,ABC,
456,8,Oct 18 2014,4:00 PM,Sat,(10) Georgia,45,,Arkansas,32,SEC Network,War Memorial Stadium - Little Rock AR
457,8,Oct 18 2014,5:00 PM,Sat,Idaho,29,,New Mexico State,17,ESPN3.com,
458,8,Oct 18 2014,12:00 PM,Sat,(14) Kansas State,31,@,(11) Oklahoma,30,ESPN,
459,8,Oct 18 2014,3:30 PM,Sat,Kent State,39,,Army,17,ESPN3.com,
460,8,Oct 18 2014,7:30 PM,Sat,Louisiana State,41,,Kentucky,3,SEC Network,
461,8,Oct 18 2014,12:00 PM,Sat,Louisiana Tech,27,,Texas-San Antonio,20,FSN-MW SW AZ W,
462,8,Oct 18 2014,3:30 PM,Sat,Louisville,30,,North Carolina State,18,FSN YES CSN-BAL,
463,8,Oct 18 2014,6:00 PM,Sat,(25) Marshall,45,@,Florida International,13,American Sports Network,
464,8,Oct 18 2014,12:00 PM,Sat,Maryland,38,,Iowa,31,ESPN 2,
465,8,Oct 18 2014,3:00 PM,Sat,Massachusetts,36,,Eastern Michigan,14,ESPN3.com,Gillette Stadium - Foxborough MA
466,8,Oct 18 2014,3:30 PM,Sat,(8) Michigan State,56,@,Indiana,17,ESPN,
467,8,Oct 18 2014,3:30 PM,Sat,Middle Tennessee State,34,,Alabama-Birmingham,22,FCS,
468,8,Oct 18 2014,12:00 PM,Sat,Minnesota,39,,Purdue,38,Big Ten Network,
469,8,Oct 18 2014,7:00 PM,Sat,(3) Mississippi,34,,Tennessee,3,ESPN,
470,8,Oct 18 2014,7:00 PM,Sat,Missouri,42,@,Florida,13,ESPN 2,
471,8,Oct 18 2014,7:30 PM,Sat,(19) Nebraska,38,@,Northwestern,17,Big Ten Network,
472,8,Oct 18 2014,10:15 PM,Sat,Nevada,42,@,Brigham Young,35,ESPN 2,
473,8,Oct 18 2014,7:00 PM,Sat,North Carolina,48,,Georgia Tech,43,ESPN U,
474,8,Oct 18 2014,5:00 PM,Sat,Northern Illinois,51,,Miami (OH),41,ESPN3.com,
475,8,Oct 18 2014,2:00 PM,Sat,Ohio,23,,Akron,20,ESPN3.com,
476,8,Oct 18 2014,3:30 PM,Sat,(13) Ohio State,56,,Rutgers,17,ABC (ESPN 2 mirror),
477,8,Oct 18 2014,8:00 PM,Sat,(9) Oregon,45,,Washington,20,FS1,
478,8,Oct 18 2014,10:30 PM,Sat,San Diego State,20,,Hawaii,10,CBSSN,
479,8,Oct 18 2014,4:00 PM,Sat,San Jose State,27,@,Wyoming,20,ESPN3.com,
480,8,Oct 18 2014,7:30 PM,Sat,South Alabama,30,,Georgia State,27,ESPN3.com,
481,8,Oct 18 2014,12:00 PM,Sat,South Carolina,41,,Furman,10,SEC Network,
482,8,Oct 18 2014,12:00 PM,Sat,South Florida,38,@,Tulsa,30,ESPNews,
483,8,Oct 18 2014,6:00 PM,Sat,(22) Southern California,56,,Colorado,28,Pac-12 Network,
484,8,Oct 18 2014,7:00 PM,Sat,Southern Mississippi,30,@,North Texas,20,Sinclair,
485,8,Oct 18 2014,12:00 PM,Sat,Syracuse,30,@,Wake Forest,7,RSN YES FSN-S PT DET+,
486,8,Oct 18 2014,8:00 PM,Sat,Texas,48,,Iowa State,45,Longhorn Network,
487,8,Oct 18 2014,4:00 PM,Sat,(12) Texas Christian,42,,(15) Oklahoma State,9,FS1,
488,8,Oct 18 2014,3:30 PM,Sat,Texas Tech,34,,Kansas,21,FSN-FL N WI SportSouth,
489,8,Oct 18 2014,3:30 PM,Sat,UCLA,36,@,California,34,ABC (ESPN 2 mirror),
490,8,Oct 18 2014,12:00 PM,Sat,West Virginia,41,,(4) Baylor,27,FS1,
491,8,Oct 18 2014,2:00 PM,Sat,Western Michigan,26,@,Bowling Green State,14,ESPN3.com,
492,9,Oct 21 2014,8:00 PM,Tue,Louisiana,55,,Arkansas State,40,ESPN 2,
493,9,Oct 23 2014,7:00 PM,Thu,(18) East Carolina,31,,Connecticut,21,ESPN U,
494,9,Oct 23 2014,8:00 PM,Thu,Miami (FL),30,@,Virginia Tech,6,ESPN,
495,9,Oct 24 2014,9:00 PM,Fri,Boise State,55,,Brigham Young,30,ESPN,
496,9,Oct 24 2014,7:00 PM,Fri,Cincinnati,34,,South Florida,17,ESPN 2,Paul Brown Stadium - Cincinnati OH
497,9,Oct 24 2014,10:00 PM,Fri,(6) Oregon,59,@,California,41,FS1,Levi`s Stadium - Santa Clara CA
498,9,Oct 24 2014,7:30 PM,Fri,South Alabama,27,,Troy,13,ESPN U,
499,9,Oct 25 2014,7:30 PM,Sat,(4) Alabama,34,@,Tennessee,20,ESPN 2,
500,9,Oct 25 2014,6:00 PM,Sat,(15) Arizona,59,@,Washington State,37,Pac-12 Network,
501,9,Oct 25 2014,10:45 PM,Sat,(14) Arizona State,24,@,Washington,10,ESPN,
502,9,Oct 25 2014,12:00 PM,Sat,Arkansas,45,,Alabama-Birmingham,17,SEC Network,
503,9,Oct 25 2014,7:30 PM,Sat,(5) Auburn,42,,South Carolina,35,SEC Network,
504,9,Oct 25 2014,2:00 PM,Sat,Ball State,35,,Akron,21,ESPN3.com,
505,9,Oct 25 2014,3:30 PM,Sat,Boston College,23,@,Wake Forest,17,RSN YES ROOT-PIT STO,
506,9,Oct 25 2014,5:00 PM,Sat,Central Florida,34,,Temple,14,CBSSN,
507,9,Oct 25 2014,3:30 PM,Sat,Central Michigan,20,@,Buffalo,14,ESPN3.com,
508,9,Oct 25 2014,7:00 PM,Sat,(21) Clemson,16,,Syracuse,6,ESPN U,
509,9,Oct 25 2014,7:00 PM,Sat,Colorado State,45,,Wyoming,31,ROOT-RM,
510,9,Oct 25 2014,2:00 PM,Sat,Georgia Southern,69,@,Georgia State,31,ESPN3.com,
511,9,Oct 25 2014,3:30 PM,Sat,Georgia Tech,56,@,Pittsburgh,28,ESPN U,
512,9,Oct 25 2014,12:00 PM,Sat,Illinois,28,,Minnesota,24,ESPN U,
513,9,Oct 25 2014,12:00 PM,Sat,(11) Kansas State,23,,Texas,0,ESPN,
514,9,Oct 25 2014,7:15 PM,Sat,(24) Louisiana State,10,,(3) Mississippi,7,ESPN,
515,9,Oct 25 2014,3:30 PM,Sat,Louisiana Tech,31,@,Southern Mississippi,20,ASN CSN-CHI BAY,
516,9,Oct 25 2014,3:30 PM,Sat,(23) Marshall,35,,Florida Atlantic,16,FS1,
517,9,Oct 25 2014,12:00 PM,Sat,Memphis,48,@,Southern Methodist,10,ESPNews,
518,9,Oct 25 2014,2:30 PM,Sat,Miami (OH),10,,Kent State,3,ESPN3.com,
519,9,Oct 25 2014,3:30 PM,Sat,(8) Michigan State,35,,Michigan,11,ABC,
520,9,Oct 25 2014,3:30 PM,Sat,(1) Mississippi State,45,@,Kentucky,31,CBS,
521,9,Oct 25 2014,4:00 PM,Sat,Missouri,24,,Vanderbilt,14,SEC Network,
522,9,Oct 25 2014,1:00 PM,Sat,Navy,41,,San Jose State,31,CBSSN,
523,9,Oct 25 2014,12:00 PM,Sat,(16) Nebraska,42,,Rutgers,24,ESPN 2,
524,9,Oct 25 2014,11:59 PM,Sat,Nevada,26,@,Hawaii,18,Oceanic Pay-Per-View,
525,9,Oct 25 2014,12:30 PM,Sat,North Carolina,28,@,Virginia,27,ACC Network,
526,9,Oct 25 2014,1:00 PM,Sat,Northern Illinois,28,@,Eastern Michigan,17,ESPN3.com,
527,9,Oct 25 2014,8:00 PM,Sat,(13) Ohio State,31,@,Penn State,24,ABC,
528,9,Oct 25 2014,12:00 PM,Sat,Rice,41,,North Texas,21,FSN MSG ROOT-PIT RM,
529,9,Oct 25 2014,3:30 PM,Sat,Stanford,38,,Oregon State,14,ESPN 2,
530,9,Oct 25 2014,3:30 PM,Sat,(10) Texas Christian,82,,Texas Tech,27,FOX,
531,9,Oct 25 2014,7:00 PM,Sat,Texas State,22,@,Louisiana-Monroe,18,ESPN3.com,
532,9,Oct 25 2014,7:00 PM,Sat,Texas-El Paso,34,@,Texas-San Antonio,0,Sinclair ASN CSN-BAY,
533,9,Oct 25 2014,2:00 PM,Sat,Toledo,42,,Massachusetts,35,ESPN3.com BCSN ESPN GP,
534,9,Oct 25 2014,2:00 PM,Sat,(25) UCLA,40,@,Colorado,37,Pac-12 Network,
535,9,Oct 25 2014,10:00 PM,Sat,(19) Utah,24,,(20) Southern California,21,FS1,
536,9,Oct 25 2014,4:00 PM,Sat,Utah State,34,,Nevada-Las Vegas,20,ESPNews,
537,9,Oct 25 2014,3:30 PM,Sat,(22) West Virginia,34,@,Oklahoma State,10,ESPN,
538,9,Oct 25 2014,4:00 PM,Sat,Western Kentucky,66,,Old Dominion,51,CUSA Digital,
539,9,Oct 25 2014,2:00 PM,Sat,Western Michigan,42,,Ohio,21,ESPN3.com,
540,9,Oct 25 2014,12:00 PM,Sat,Wisconsin,52,,Maryland,7,Big Ten Network,
541,10,Oct 30 2014,7:30 PM,Thu,(2) Florida State,42,@,Louisville,31,ESPN,
